Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","201","Somalia","5110","Area","6650","Permanent crops","2007","2007","1000 ha","26","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6655","Permanent meadows and pastures","2007","2007","1000 ha","43000","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6621","Arable land","2008","2008","1000 ha","1100","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6650","Permanent crops","2008","2008","1000 ha","26","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6655","Permanent meadows and pastures","2008","2008","1000 ha","43000","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6621","Arable land","2009","2009","1000 ha","1100","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6650","Permanent crops","2009","2009","1000 ha","26","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6655","Permanent meadows and pastures","2009","2009","1000 ha","43000","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6621","Arable land","2010","2010","1000 ha","1100","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6650","Permanent crops","2010","2010","1000 ha","26","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6655","Permanent meadows and pastures","2010","2010","1000 ha","43000","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6621","Arable land","2011","2011","1000 ha","1000","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6650","Permanent crops","2011","2011","1000 ha","26","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6655","Permanent meadows and pastures","2011","2011","1000 ha","43000","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6621","Arable land","2012","2012","1000 ha","1000","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6650","Permanent crops","2012","2012","1000 ha","26","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6655","Permanent meadows and pastures","2012","2012","1000 ha","43000","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6621","Arable land","2013","2013","1000 ha","1100","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6650","Permanent crops","2013","2013","1000 ha","26","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6655","Permanent meadows and pastures","2013","2013","1000 ha","43000","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6621","Arable land","2014","2014","1000 ha","1100","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6650","Permanent crops","2014","2014","1000 ha","26","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6655","Permanent meadows and pastures","2014","2014","1000 ha","43000","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6621","Arable land","2015","2015","1000 ha","1100","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6650","Permanent crops","2015","2015","1000 ha","26","I","Imputed value",""
"RL","Land Use","201","Somalia","5110","Area","6655","Permanent meadows and pastures","2015","2015","1000 ha","43000","I","Imputed value",""
