Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","2001","2001","1000 ha","815","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","2001","2001","1000 ha","8273","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","2002","2002","1000 ha","4593","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","2002","2002","1000 ha","828","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","2002","2002","1000 ha","8338","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","2003","2003","1000 ha","4625","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","2003","2003","1000 ha","853","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","2003","2003","1000 ha","8335","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","2004","2004","1000 ha","4757","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","2004","2004","1000 ha","869","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","2004","2004","1000 ha","8279","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","2005","2005","1000 ha","4675","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","2005","2005","1000 ha","887","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","2005","2005","1000 ha","8266","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","2006","2006","1000 ha","4670","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","2006","2006","1000 ha","917","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","2006","2006","1000 ha","8290","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","2007","2007","1000 ha","4736","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","2007","2007","1000 ha","947","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","2007","2007","1000 ha","8214","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","2008","2008","1000 ha","4699","A","Official figure",""
