Domain,Area,Element,Item,Year,Unit,Value
"Crops and livestock products","Thailand","Area harvested","Bananas","1987","ha","130000"
"Crops and livestock products","Thailand","Yield","Bananas","1987","100 g/ha","123400"
"Crops and livestock products","Thailand","Area harvested","Bananas","1988","ha","130000"
"Crops and livestock products","Thailand","Yield","Bananas","1988","100 g/ha","123538"
"Crops and livestock products","Thailand","Area harvested","Bananas","1989","ha","132000"
"Crops and livestock products","Thailand","Yield","Bananas","1989","100 g/ha","121970"
"Crops and livestock products","Thailand","Area harvested","Bananas","1990","ha","126546"
"Crops and livestock products","Thailand","Yield","Bananas","1990","100 g/ha","127464"
"Crops and livestock products","Thailand","Area harvested","Bananas","1991","ha","137255"
"Crops and livestock products","Thailand","Yield","Bananas","1991","100 g/ha","118029"
"Crops and livestock products","Thailand","Area harvested","Bananas","1992","ha","139548"
"Crops and livestock products","Thailand","Yield","Bananas","1992","100 g/ha","116806"
"Crops and livestock products","Thailand","Area harvested","Bananas","1993","ha","138737"
"Crops and livestock products","Thailand","Yield","Bananas","1993","100 g/ha","118930"
"Crops and livestock products","Thailand","Area harvested","Bananas","1994","ha","133000"
"Crops and livestock products","Thailand","Yield","Bananas","1994","100 g/ha","127820"
"Crops and livestock products","Thailand","Area harvested","Bananas","1995","ha","135000"
"Crops and livestock products","Thailand","Yield","Bananas","1995","100 g/ha","129630"
"Crops and livestock products","Thailand","Area harvested","Bananas","1996","ha","141120"
"Crops and livestock products","Thailand","Yield","Bananas","1996","100 g/ha","123080"
"Crops and livestock products","Thailand","Area harvested","Bananas","1997","ha","130000"
"Crops and livestock products","Thailand","Yield","Bananas","1997","100 g/ha","130769"
"Crops and livestock products","Thailand","Area harvested","Bananas","1998","ha","134000"
"Crops and livestock products","Thailand","Yield","Bananas","1998","100 g/ha","128358"
"Crops and livestock products","Thailand","Area harvested","Bananas","1999","ha","148000"
"Crops and livestock products","Thailand","Yield","Bananas","1999","100 g/ha","128378"
"Crops and livestock products","Thailand","Area harvested","Bananas","2000","ha","156269"
"Crops and livestock products","Thailand","Yield","Bananas","2000","100 g/ha","129885"
"Crops and livestock products","Thailand","Area harvested","Bananas","2001","ha","151211"
"Crops and livestock products","Thailand","Yield","Bananas","2001","100 g/ha","133663"
"Crops and livestock products","Thailand","Area harvested","Bananas","2002","ha","139000"
"Crops and livestock products","Thailand","Yield","Bananas","2002","100 g/ha","148238"
"Crops and livestock products","Thailand","Area harvested","Bananas","2003","ha","148360"
"Crops and livestock products","Thailand","Yield","Bananas","2003","100 g/ha","132483"
"Crops and livestock products","Thailand","Area harvested","Bananas","2004","ha","124378"
"Crops and livestock products","Thailand","Yield","Bananas","2004","100 g/ha","112751"
"Crops and livestock products","Thailand","Area harvested","Bananas","2005","ha","118595"
"Crops and livestock products","Thailand","Yield","Bananas","2005","100 g/ha","136892"
"Crops and livestock products","Thailand","Area harvested","Bananas","2006","ha","126505"
"Crops and livestock products","Thailand","Yield","Bananas","2006","100 g/ha","132524"
"Crops and livestock products","Thailand","Area harvested","Bananas","2007","ha","132021"
"Crops and livestock products","Thailand","Yield","Bananas","2007","100 g/ha","146135"
"Crops and livestock products","Thailand","Area harvested","Bananas","2008","ha","132491"
"Crops and livestock products","Thailand","Yield","Bananas","2008","100 g/ha","116270"
"Crops and livestock products","Thailand","Area harvested","Bananas","2009","ha","133162"
"Crops and livestock products","Thailand","Yield","Bananas","2009","100 g/ha","114754"
"Crops and livestock products","Thailand","Area harvested","Bananas","2010","ha","133527"
"Crops and livestock products","Thailand","Yield","Bananas","2010","100 g/ha","118695"
"Crops and livestock products","Thailand","Area harvested","Bananas","2011","ha","86729"
"Crops and livestock products","Thailand","Yield","Bananas","2011","100 g/ha","158925"
"Crops and livestock products","Thailand","Area harvested","Bananas","2012","ha","80439"
"Crops and livestock products","Thailand","Yield","Bananas","2012","100 g/ha","126861"
"Crops and livestock products","Thailand","Area harvested","Bananas","2013","ha","40071"
"Crops and livestock products","Thailand","Yield","Bananas","2013","100 g/ha","257381"
"Crops and livestock products","Thailand","Area harvested","Bananas","2014","ha","36821"
"Crops and livestock products","Thailand","Yield","Bananas","2014","100 g/ha","379730"
"Crops and livestock products","Thailand","Area harvested","Bananas","2015","ha","38061"
"Crops and livestock products","Thailand","Yield","Bananas","2015","100 g/ha","271286"
"Crops and livestock products","Thailand","Area harvested","Bananas","2016","ha","49440"
"Crops and livestock products","Thailand","Yield","Bananas","2016","100 g/ha","226168"
"Crops and livestock products","Thailand","Area harvested","Bananas","2017","ha","55250"
"Crops and livestock products","Thailand","Yield","Bananas","2017","100 g/ha","201680"
"Crops and livestock products","Thailand","Area harvested","Bananas","2018","ha","59720"
"Crops and livestock products","Thailand","Yield","Bananas","2018","100 g/ha","211892"
"Crops and livestock products","Thailand","Area harvested","Bananas","2019","ha","60830"
"Crops and livestock products","Thailand","Yield","Bananas","2019","100 g/ha","213314"
"Crops and livestock products","Thailand","Area harvested","Bananas","2020","ha","62650"
"Crops and livestock products","Thailand","Yield","Bananas","2020","100 g/ha","217186"
"Crops and livestock products","Thailand","Area harvested","Bananas","2021","ha","60604"
"Crops and livestock products","Thailand","Yield","Bananas","2021","100 g/ha","221689"
"Crops and livestock products","Thailand","Area harvested","Bananas","2022","ha","58389"
"Crops and livestock products","Thailand","Yield","Bananas","2022","100 g/ha","220644"
"Crops and livestock products","Thailand","Area harvested","Barley","1961","ha","0"
"Crops and livestock products","Thailand","Area harvested","Barley","1962","ha","0"
"Crops and livestock products","Thailand","Area harvested","Barley","1963","ha","0"
"Crops and livestock products","Thailand","Area harvested","Barley","1964","ha","0"
"Crops and livestock products","Thailand","Area harvested","Barley","1965","ha","0"
"Crops and livestock products","Thailand","Area harvested","Barley","1966","ha","0"
"Crops and livestock products","Thailand","Area harvested","Barley","1967","ha","0"
"Crops and livestock products","Thailand","Area harvested","Barley","1968","ha","0"
"Crops and livestock products","Thailand","Area harvested","Barley","1969","ha","0"
"Crops and livestock products","Thailand","Area harvested","Barley","1970","ha","0"
"Crops and livestock products","Thailand","Area harvested","Barley","1971","ha","0"
"Crops and livestock products","Thailand","Area harvested","Barley","1972","ha","0"
"Crops and livestock products","Thailand","Area harvested","Barley","1973","ha","0"
"Crops and livestock products","Thailand","Area harvested","Barley","1974","ha","0"
"Crops and livestock products","Thailand","Area harvested","Barley","1975","ha","0"
"Crops and livestock products","Thailand","Area harvested","Barley","1976","ha","0"
"Crops and livestock products","Thailand","Area harvested","Barley","1977","ha","0"
"Crops and livestock products","Thailand","Area harvested","Barley","1978","ha","0"
"Crops and livestock products","Thailand","Area harvested","Barley","1979","ha","0"
"Crops and livestock products","Thailand","Area harvested","Barley","1980","ha","0"
"Crops and livestock products","Thailand","Area harvested","Barley","1981","ha","0"
"Crops and livestock products","Thailand","Area harvested","Barley","1982","ha","0"
"Crops and livestock products","Thailand","Area harvested","Barley","1983","ha","0"
"Crops and livestock products","Thailand","Area harvested","Barley","1984","ha","0"
"Crops and livestock products","Thailand","Area harvested","Barley","1985","ha","0"
"Crops and livestock products","Thailand","Area harvested","Barley","1986","ha","0"
"Crops and livestock products","Thailand","Area harvested","Barley","1987","ha","0"
"Crops and livestock products","Thailand","Area harvested","Barley","1988","ha","0"
"Crops and livestock products","Thailand","Area harvested","Barley","1989","ha","580"
"Crops and livestock products","Thailand","Yield","Barley","1989","100 g/ha","10138"
"Crops and livestock products","Thailand","Area harvested","Barley","1990","ha","803"
"Crops and livestock products","Thailand","Yield","Barley","1990","100 g/ha","11831"
"Crops and livestock products","Thailand","Area harvested","Barley","1991","ha","1951"
"Crops and livestock products","Thailand","Yield","Barley","1991","100 g/ha","7181"
"Crops and livestock products","Thailand","Area harvested","Barley","1992","ha","2895"
"Crops and livestock products","Thailand","Yield","Barley","1992","100 g/ha","6674"
"Crops and livestock products","Thailand","Area harvested","Barley","1993","ha","6000"
"Crops and livestock products","Thailand","Yield","Barley","1993","100 g/ha","10000"
"Crops and livestock products","Thailand","Area harvested","Barley","1994","ha","7700"
"Crops and livestock products","Thailand","Yield","Barley","1994","100 g/ha","12987"
"Crops and livestock products","Thailand","Area harvested","Barley","1995","ha","10000"
"Crops and livestock products","Thailand","Yield","Barley","1995","100 g/ha","16000"
"Crops and livestock products","Thailand","Area harvested","Barley","1996","ha","11715"
"Crops and livestock products","Thailand","Yield","Barley","1996","100 g/ha","18392"
"Crops and livestock products","Thailand","Area harvested","Barley","1997","ha","7757"
"Crops and livestock products","Thailand","Yield","Barley","1997","100 g/ha","18025"
"Crops and livestock products","Thailand","Area harvested","Barley","1998","ha","8439"
"Crops and livestock products","Thailand","Yield","Barley","1998","100 g/ha","18438"
"Crops and livestock products","Thailand","Area harvested","Barley","1999","ha","8792"
"Crops and livestock products","Thailand","Yield","Barley","1999","100 g/ha","19838"
