Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","016","American Samoa","5110","Area","6640","Temporary fallow","2008","2008","1000 ha","0.1135","I","Imputed value",""
"RL","Land Use","016","American Samoa","5110","Area","6640","Temporary fallow","2015","2015","1000 ha","0.1143","I","Imputed value",""
"RL","Land Use","016","American Samoa","5110","Area","6650","Permanent crops","2008","2008","1000 ha","1.67","I","Imputed value",""
"RL","Land Use","016","American Samoa","5110","Area","6650","Permanent crops","2015","2015","1000 ha","1.81","I","Imputed value",""
"RL","Land Use","016","American Samoa","5110","Area","6655","Permanent meadows and pastures","2008","2008","1000 ha","0","I","Imputed value",""
"RL","Land Use","016","American Samoa","5110","Area","6655","Permanent meadows and pastures","2015","2015","1000 ha","0","I","Imputed value",""
"RL","Land Use","016","American Samoa","5110","Area","6656","Perm. meadows & pastures - Cultivated","2008","2008","","","","",""
"RL","Land Use","016","American Samoa","5110","Area","6656","Perm. meadows & pastures - Cultivated","2015","2015","","","","",""
"RL","Land Use","016","American Samoa","5110","Area","6659","Perm. meadows & pastures - Nat. growing","2008","2008","","","","",""
"RL","Land Use","016","American Samoa","5110","Area","6659","Perm. meadows & pastures - Nat. growing","2015","2015","","","","",""
"RL","Land Use","016","American Samoa","5110","Area","6649","Farm buildings and Farmyards","2008","2008","","","","",""
"RL","Land Use","016","American Samoa","5110","Area","6649","Farm buildings and Farmyards","2015","2015","","","","",""
"RL","Land Use","016","American Samoa","5110","Area","6671","Agriculture area under organic agric.","2008","2008","","","","",""
"RL","Land Use","016","American Samoa","5110","Area","6671","Agriculture area under organic agric.","2015","2015","","","","",""
"RL","Land Use","016","American Samoa","5110","Area","6672","Agriculture area certified organic","2008","2008","","","","",""
"RL","Land Use","016","American Samoa","5110","Area","6672","Agriculture area certified organic","2015","2015","","","","",""
"RL","Land Use","016","American Samoa","5110","Area","6668","Cropland area under organic agric.","2008","2008","","","","",""
"RL","Land Use","016","American Samoa","5110","Area","6668","Cropland area under organic agric.","2015","2015","","","","",""
"RL","Land Use","016","American Samoa","5110","Area","6669","Cropland area certified organic","2008","2008","","","","",""
"RL","Land Use","016","American Samoa","5110","Area","6669","Cropland area certified organic","2015","2015","","","","",""
"RL","Land Use","016","American Samoa","5110","Area","6681","Perm. meadows & pastures area under organic agric.","2008","2008","","","","",""
"RL","Land Use","016","American Samoa","5110","Area","6681","Perm. meadows & pastures area under organic agric.","2015","2015","","","","",""
"RL","Land Use","016","American Samoa","5110","Area","6682","Perm. meadows & pastures area certified organic","2008","2008","","","","",""
"RL","Land Use","016","American Samoa","5110","Area","6682","Perm. meadows & pastures area certified organic","2015","2015","","","","",""
"RL","Land Use","016","American Samoa","5110","Area","6664","Cropland area under conventional tillage","2008","2008","","","","",""
"RL","Land Use","016","American Samoa","5110","Area","6664","Cropland area under conventional tillage","2015","2015","","","","",""
"RL","Land Use","016","American Samoa","5110","Area","6665","Cropland area under conservation tillage","2008","2008","","","","",""
"RL","Land Use","016","American Samoa","5110","Area","6665","Cropland area under conservation tillage","2015","2015","","","","",""
"RL","Land Use","016","American Samoa","5110","Area","6666","Cropland area under zero or no tillage","2008","2008","","","","",""
"RL","Land Use","016","American Samoa","5110","Area","6666","Cropland area under zero or no tillage","2015","2015","","","","",""
"RL","Land Use","016","American Samoa","5110","Area","6774","Cropland area under protective cover","2008","2008","","","","",""
"RL","Land Use","016","American Samoa","5110","Area","6774","Cropland area under protective cover","2015","2015","","","","",""
"RL","Land Use","020","Andorra","5110","Area","6600","Country area","2008","2008","1000 ha","47","A","Official figure",""
"RL","Land Use","020","Andorra","5110","Area","6600","Country area","2015","2015","1000 ha","47","A","Official figure",""
"RL","Land Use","020","Andorra","5110","Area","6601","Land area","2008","2008","1000 ha","47","A","Official figure",""
"RL","Land Use","020","Andorra","5110","Area","6601","Land area","2015","2015","1000 ha","47","A","Official figure",""
"RL","Land Use","020","Andorra","5110","Area","6602","Agriculture","2008","2008","1000 ha","20.76","I","Imputed value",""
"RL","Land Use","020","Andorra","5110","Area","6602","Agriculture","2015","2015","1000 ha","18.81","I","Imputed value",""
"RL","Land Use","020","Andorra","5110","Area","6610","Agricultural land","2008","2008","1000 ha","20.76","I","Imputed value",""
"RL","Land Use","020","Andorra","5110","Area","6610","Agricultural land","2015","2015","1000 ha","18.81","I","Imputed value",""
"RL","Land Use","020","Andorra","5110","Area","6620","Cropland","2008","2008","1000 ha","0.76","A","Official figure",""
"RL","Land Use","020","Andorra","5110","Area","6620","Cropland","2015","2015","1000 ha","0.81","A","Official figure",""
"RL","Land Use","020","Andorra","5110","Area","6621","Arable land","2008","2008","1000 ha","0.76","A","Official figure",""
"RL","Land Use","020","Andorra","5110","Area","6621","Arable land","2015","2015","1000 ha","0.81","A","Official figure",""
"RL","Land Use","020","Andorra","5110","Area","6630","Temporary crops","2008","2008","1000 ha","0.2","A","Official figure",""
"RL","Land Use","020","Andorra","5110","Area","6630","Temporary crops","2015","2015","1000 ha","0.23","A","Official figure",""
"RL","Land Use","020","Andorra","5110","Area","6633","Temporary meadows and pastures","2008","2008","1000 ha","0.54","A","Official figure",""
"RL","Land Use","020","Andorra","5110","Area","6633","Temporary meadows and pastures","2015","2015","1000 ha","0.54","A","Official figure",""
"RL","Land Use","020","Andorra","5110","Area","6640","Temporary fallow","2008","2008","1000 ha","0.02","A","Official figure",""
"RL","Land Use","020","Andorra","5110","Area","6640","Temporary fallow","2015","2015","1000 ha","0.04","A","Official figure",""
"RL","Land Use","020","Andorra","5110","Area","6650","Permanent crops","2008","2008","","","","",""
"RL","Land Use","020","Andorra","5110","Area","6650","Permanent crops","2015","2015","","","","",""
"RL","Land Use","020","Andorra","5110","Area","6655","Permanent meadows and pastures","2008","2008","1000 ha","20","A","Official figure",""
"RL","Land Use","020","Andorra","5110","Area","6655","Permanent meadows and pastures","2015","2015","1000 ha","18","I","Imputed value",""
"RL","Land Use","020","Andorra","5110","Area","6656","Perm. meadows & pastures - Cultivated","2008","2008","","","","",""
"RL","Land Use","020","Andorra","5110","Area","6656","Perm. meadows & pastures - Cultivated","2015","2015","","","","",""
"RL","Land Use","020","Andorra","5110","Area","6659","Perm. meadows & pastures - Nat. growing","2008","2008","","","","",""
"RL","Land Use","020","Andorra","5110","Area","6659","Perm. meadows & pastures - Nat. growing","2015","2015","","","","",""
"RL","Land Use","020","Andorra","5110","Area","6649","Farm buildings and Farmyards","2008","2008","","","","",""
"RL","Land Use","020","Andorra","5110","Area","6649","Farm buildings and Farmyards","2015","2015","","","","",""
"RL","Land Use","020","Andorra","5110","Area","6671","Agriculture area under organic agric.","2008","2008","","","","",""
"RL","Land Use","020","Andorra","5110","Area","6671","Agriculture area under organic agric.","2015","2015","1000 ha","0.002","I","Imputed value",""
"RL","Land Use","020","Andorra","5110","Area","6672","Agriculture area certified organic","2008","2008","","","","",""
"RL","Land Use","020","Andorra","5110","Area","6672","Agriculture area certified organic","2015","2015","","","","",""
"RL","Land Use","020","Andorra","5110","Area","6668","Cropland area under organic agric.","2008","2008","","","","",""
"RL","Land Use","020","Andorra","5110","Area","6668","Cropland area under organic agric.","2015","2015","","","","",""
"RL","Land Use","020","Andorra","5110","Area","6669","Cropland area certified organic","2008","2008","","","","",""
"RL","Land Use","020","Andorra","5110","Area","6669","Cropland area certified organic","2015","2015","","","","",""
"RL","Land Use","020","Andorra","5110","Area","6681","Perm. meadows & pastures area under organic agric.","2008","2008","","","","",""
"RL","Land Use","020","Andorra","5110","Area","6681","Perm. meadows & pastures area under organic agric.","2015","2015","","","","",""
"RL","Land Use","020","Andorra","5110","Area","6682","Perm. meadows & pastures area certified organic","2008","2008","","","","",""
"RL","Land Use","020","Andorra","5110","Area","6682","Perm. meadows & pastures area certified organic","2015","2015","","","","",""
"RL","Land Use","020","Andorra","5110","Area","6664","Cropland area under conventional tillage","2008","2008","","","","",""
"RL","Land Use","020","Andorra","5110","Area","6664","Cropland area under conventional tillage","2015","2015","","","","",""
"RL","Land Use","020","Andorra","5110","Area","6665","Cropland area under conservation tillage","2008","2008","","","","",""
"RL","Land Use","020","Andorra","5110","Area","6665","Cropland area under conservation tillage","2015","2015","","","","",""
"RL","Land Use","020","Andorra","5110","Area","6666","Cropland area under zero or no tillage","2008","2008","","","","",""
"RL","Land Use","020","Andorra","5110","Area","6666","Cropland area under zero or no tillage","2015","2015","","","","",""
"RL","Land Use","020","Andorra","5110","Area","6774","Cropland area under protective cover","2008","2008","","","","",""
"RL","Land Use","020","Andorra","5110","Area","6774","Cropland area under protective cover","2015","2015","","","","",""
"RL","Land Use","024","Angola","5110","Area","6600","Country area","2008","2008","1000 ha","124670","A","Official figure",""
"RL","Land Use","024","Angola","5110","Area","6600","Country area","2015","2015","1000 ha","124670","A","Official figure",""
"RL","Land Use","024","Angola","5110","Area","6601","Land area","2008","2008","1000 ha","124670","A","Official figure",""
"RL","Land Use","024","Angola","5110","Area","6601","Land area","2015","2015","1000 ha","124670","A","Official figure",""
"RL","Land Use","024","Angola","5110","Area","6602","Agriculture","2008","2008","1000 ha","44195","I","Imputed value",""
"RL","Land Use","024","Angola","5110","Area","6602","Agriculture","2015","2015","1000 ha","45789","I","Imputed value",""
"RL","Land Use","024","Angola","5110","Area","6610","Agricultural land","2008","2008","1000 ha","44195","I","Imputed value",""
"RL","Land Use","024","Angola","5110","Area","6610","Agricultural land","2015","2015","1000 ha","45789","I","Imputed value",""
